"AUTHOR","AUTH_NAME"
"0000","Anonymus"
"0001","Chytrý Milan"
"0002","Sádlo Jiří"
"0003","Tichý Lubomír - botanik"
"0004","Härtel Handrij"
"0005","Duchoslav Martin"
"0006","Šumberová Kateřina"
"0007","Zlatník Alois"
"0008","Vicherek Jiří"
"0009","Danihelka Jiří"
"0010","Korneck Dieter"
"0011","Horák Jaroslav"
"0012","Grulich Vít"
"0013","Chmelař Jindřích"
"0014","Vorel Jaromír"
"0015","Chytil Petr"
"0020","Ambrož Josef"
"0021","Balátová-Tuláčková Emilie"
"0022","Bednář Vratislav"
"0023","Berciková Milena"
"0024","Blažková Denisa"
"0025","Březina Přemysl"
"0026","Bureš Leo"
"0027","Burešová Zuzana"
"0028","Cílková M."
"0029","Černohous František"
"0030","Husák Štěpán"
"0031","Neuhäuslová=Novotná=Dovolil.Z."
"0032","Eliáš Pavol sen."
"0033","Fiala Karel"
"0034","Fiedler Josef"
"0035","Firbas Franz"
"0036","Grüll František"
"0037","Hadač Emil"
"0038","Rambousková Hana"
"0039","Sofron Jaromír"
"0040","Štursa Jan"
"0041","Váňa Jiří"
"0042","Hejný Slavomil"
"0043","Pyšek Antonín"
"0044","Pyšek Petr"
"0045","Jehlík Vladimír"
"0046","Kopecký Karel"
"0047","Krippelová Terézia"
"0048","Moravec Jaroslav"
"0049","Neuhäusl Robert"
"0050","Holub Josef"
"0051","Čeřovský Jan"
"0052","Rydlo Jaroslav"
"0053","Husáková Jana"
"0054","Husová Miroslava"
"0055","Mandák Bohumil"
"0056","Andresová Jitka"
"0057","Jakucs Pál"
"0058","Jílek Bohumil"
"0059","Jurko Anton"
"0060","Jeník Jan"
"0062","Kästner Max"
"0063","Flössner Willy"
"0064","Klika Jaromír"
"0065","Šmarda Jan"
"0066","Šmarda František"
"0067","Klimeš Leoš"
"0068","Kurková J."
"0069","Petříček Václav"
"0070","Řehořek Vladimír"
"0071","Smejkal Miroslav"
"0072","Osbornová Jana"
"0073","Kovář Pavel"
"0074","Krahulec František"
"0075","Lepš Jan"
"0076","Rauch Ota"
"0077","Prach Karel"
"0078","Krippel Eduard"
"0079","Mucina Ladislav"
"0080","Valachovič Milan"
"0081","Jarolímek Ivan"
"0082","Janišová Monika"
"0083","Stanová Viera"
"0084","Škodová Iveta"
"0085","Kropáč Zdeněk"
"0086","Mochnacký Sergej"
"0087","Kubíková Jarmila"
"0088","Molíková Martina"
"0089","Málek Jaromír"
"0090","Mezera Alois"
"0091","Mráz Karel"
"0092","Samek Věroslav"
"0093","Mikyška Rudolf"
"0094","Nesvadbová Jaroslava"
"0095","Oťaheľová Helena"
"0096","Pišta František"
"0097","Preis Karl"
"0098","Šandová Miroslava"
"0099","Rejmánek Marcel"
"0100","Sýkora Tomáš"
"0101","Rivola Milan"
"0102","Rybníček Kamil"
"0103","Sillinger Pavol"
"0104","Slabý Pavel"
"0105","Štěpán Jan"
"0106","Vondráček Miroslav"
"0107","Papáčková Lenka"
"0108","Kočí Martin"
"0109","Studnička Miloslav"
"0110","Stuchlý Jan"
"0111","Šomšák Ladislav"
"0112","Špániková Anatólia"
"0113","Tlusták Vlastimil"
"0114","Domin Karel"
"0115","Toman Miloslav"
"0116","Válek Bohumil"
"0117","Viceníková Andrea"
"0118","Vallová-Štolcová Eva"
"0119","Koráb Jaroslav"
"0120","Unar Jiří"
"0121","Višňák Richard"
"0122","Wagnerová Zuzana"
"0123","Málková Jitka"
"0124","Maglocký Štefan"
"0125","Šeffer Ján"
"0126","Tkačíková = Novosadová Jana"
"0127","Cigánek David"
"0128","Demianová = Horáková Viera"
"0129","Knollová = Kuželová Ilona"
"0130","Pavlíčková Petra"
"0131","Kudělová Jarmila"
"0132","Lustyk Pavel"
"0133","Řepka Radomír"
"0134","Hájek Michal"
"0135","Kolbek Jiří"
"0136","Šimr Jan"
"0137","Jirásek Jaroslav"
"0138","Ambros Zdeněk"
"0139","Ambrozek Libor"
"0140","Bernátová Dana"
