"COVER_SCALE","COVER_SCALE_NAME","COVER_CODE","COVER_PERC_EVA","COVER_PERC"
"00","Percetage %","0.1",0.1,0.1
"00","Percetage %",".1",0.1,0.1
"00","Percetage %","0.2",0.2,0.2
"00","Percetage %","0.3",0.3,0.3
"00","Percetage %","0.4",0.4,0.4
"00","Percetage %",".5",0.5,0.5
"00","Percetage %","0.5",0.5,0.5
"00","Percetage %","0.6",0.6,0.6
"00","Percetage %","0.7",0.7,0.7
"00","Percetage %","0.8",0.8,0.8
"00","Percetage %","0.9",0.9,0.9
"00","Percetage %","1",1,1
"00","Percetage %","2",2,2
"00","Percetage %","3",3,3
"00","Percetage %","4",4,4
"00","Percetage %","5",5,5
"00","Percetage %","6",6,6
"00","Percetage %","7",7,7
"00","Percetage %","8",8,8
"00","Percetage %","9",9,9
"00","Percetage %","10",10,10
"00","Percetage %","11",11,11
"00","Percetage %","12",12,12
"00","Percetage %","13",13,13
"00","Percetage %","14",14,14
"00","Percetage %","15",15,15
"00","Percetage %","16",16,16
"00","Percetage %","17",17,17
"00","Percetage %","18",18,18
"00","Percetage %","19",19,19
"00","Percetage %","20",20,20
"00","Percetage %","21",21,21
"00","Percetage %","22",22,22
"00","Percetage %","23",23,23
"00","Percetage %","24",24,24
"00","Percetage %","25",25,25
"00","Percetage %","26",26,26
"00","Percetage %","27",27,27
"00","Percetage %","28",28,28
"00","Percetage %","29",29,29
"00","Percetage %","30",30,30
"00","Percetage %","31",31,31
"00","Percetage %","32",32,32
"00","Percetage %","33",33,33
"00","Percetage %","34",34,34
"00","Percetage %","35",35,35
"00","Percetage %","36",36,36
"00","Percetage %","37",37,37
"00","Percetage %","38",38,38
"00","Percetage %","39",39,39
"00","Percetage %","40",40,40
"00","Percetage %","41",41,41
"00","Percetage %","42",42,42
"00","Percetage %","43",43,43
"00","Percetage %","44",44,44
"00","Percetage %","45",45,45
"00","Percetage %","46",46,46
"00","Percetage %","47",47,47
"00","Percetage %","48",48,48
"00","Percetage %","49",49,49
"00","Percetage %","50",50,50
"00","Percetage %","51",51,51
"00","Percetage %","52",52,52
"00","Percetage %","53",53,53
"00","Percetage %","54",54,54
"00","Percetage %","55",55,55
"00","Percetage %","56",56,56
"00","Percetage %","57",57,57
"00","Percetage %","58",58,58
"00","Percetage %","59",59,59
"00","Percetage %","60",60,60
"00","Percetage %","61",61,61
"00","Percetage %","62",62,62
"00","Percetage %","63",63,63
"00","Percetage %","64",64,64
"00","Percetage %","65",65,65
"00","Percetage %","66",66,66
"00","Percetage %","67",67,67
"00","Percetage %","68",68,68
"00","Percetage %","69",69,69
"00","Percetage %","70",70,70
"00","Percetage %","71",71,71
"00","Percetage %","72",72,72
"00","Percetage %","73",73,73
"00","Percetage %","74",74,74
"00","Percetage %","75",75,75
"00","Percetage %","76",76,76
"00","Percetage %","77",77,77
"00","Percetage %","78",78,78
"00","Percetage %","79",79,79
"00","Percetage %","80",80,80
"00","Percetage %","81",81,81
"00","Percetage %","82",82,82
"00","Percetage %","83",83,83
"00","Percetage %","84",84,84
"00","Percetage %","85",85,85
"00","Percetage %","86",86,86
"00","Percetage %","87",87,87
"00","Percetage %","88",88,88
"00","Percetage %","89",89,89
"00","Percetage %","90",90,90
"00","Percetage %","91",91,91
"00","Percetage %","92",92,92
"00","Percetage %","93",93,93
"00","Percetage %","94",94,94
"00","Percetage %","95",95,95
"00","Percetage %","96",96,96
"00","Percetage %","97",97,97
"00","Percetage %","98",98,98
"00","Percetage %","99",99,99
"00","Percetage %","9X",100,100
"01","Braun/Blanquet (old)","1",3,3
"01","Braun/Blanquet (old)","2",13,13
"01","Braun/Blanquet (old)","3",38,38
"01","Braun/Blanquet (old)","4",63,63
"01","Braun/Blanquet (old)","5",88,88
"01","Braun/Blanquet (old)","+",2,2
"01","Braun/Blanquet (old)","r",1,1
"02","Braun/Blanquet (new)","1",3,3
"02","Braun/Blanquet (new)","2",13,13
"02","Braun/Blanquet (new)","3",38,37.5
