"REFERENCE","REFERENCE_AUTHOR","REFERENCE_YEAR","REFERENCE_TITLE","REFERENCE_JOURNAL"
1,NA,NA,"Neznámá9",NA
2,"Neuhäuslová Z. et Eltsová V.",2002,"The Bazzanio-Piceetum in the Bohemian Forest (Šumava Mts.), Czech Republic.","Feddes Repert., Berlin, 113 (5-6): 367-379."
100001,"Roleček J.",2007,"Formalized classification of the termophilous oak forests in the Czech Republic: What brings the Coctail method?","Preslia, Praha, 79: 1-21."
100002,"Málková J.",2007,"Geobotanické zhodnocení lokalit ve Spále, Jámy a Bezděkov u Rychnova nad Kněžnou.","Východočes. Sborn. Přírod. - Pr. a Stud., Pardubice, 14: 85-120."
100003,"Stránská M.",2007,"Vegetační studie nelesních ekosystémů v území Podkrkonoší: 1 - Vodní, pobřežní, bažinná společenstva a společenstva vlhkých luk.","Východočes. Sborn. Přírod. - Pr. a Stud., Pardubice, 14: 121-158."
100004,"Lanta V., Lehotský T. et Svobodová P.",2006,"Příspěvek ke květeně kóty Jívy, dominantního kopce 'Staropackých hor'.","Východočes. Sborn. Přírod. - Pr. a Stud., Pardubice, 13: 127-131."
100005,"Prausová R.",2006,"Změny flóry a vegetace v Národní přírodní památce Semínský přesyp.","Východočes. Sborn. Přírod. - Pr. a Stud., Pardubice, 13: 133-146."
100006,"Gutzerová N.",2006,"Vegetace Přírodní památky Ptačí ostrovy v Chrudimi.","Východočes. Sborn. Přírod. - Pr. a Stud., Pardubice, 13: 147-154."
100007,"Rusňák J.",2006,"Botanický průzkum vybraných MZCHÚ v CHKO Železné hory.","Východočes. Sborn. Přírod. - Pr. a Stud., Pardubice, 13: 155-166."
100008,"Málková J., Horáková P. et Sychrová L.",2005,"Porovnání floristického složení, rostlinných společentev a druhové diverzity dvou bučin nad Pekelským potokem v Podkrkonoší.","Východočes. Sborn. Přírod. - Pr. a Stud., Pardubice, 12: 71-108."
100009,"Eltzova V.",2006,"Clearing communities of the Bohemian Forest.","Silva Gabreta, Vimperk, 12: 19-33."
100010,"Bufková I., Prach K. et Bastl M.",2005,"Relationships between vegetation and environment within the montane floodplain of the Upper Vltava River (Šumava National Park, Czech Republic).","Silva Gabreta, Vimperk, suppl. 2: 5-76."
