"SYNTAXON","SYNTAXON_NAME"
"AA","Loiseleurio-Vaccinietea"
"AAA","Loiseleurio procumbentis-Vaccinion"
"AAA01","Avenello flexuosae-Callunetum vulgaris"
"AAA02","Junco trifidi-Empetretum hermaphroditi"
"AB","Juncetea trifidi"
"ABA","Juncion trifidi"
"ABA01","Cetrario-Festucetum supinae"
"ABB","Nardo strictae-Caricion bigelowii"
"ABB01","Carici bigelowii-Nardetum strictae"
"AC","Elyno-Seslerietea"
"ACA","Agrostion alpinae"
"ACA01","Saxifrago oppositifoliae-Festucetum versicoloris"
"ACA02","Saxifrago paniculatae-Agrostietum alpinae"
"AD","Mulgedio-Aconitetea"
"ADA","Calamagrostion villosae"
"ADA01","Sphagno compacti-Molinietum caeruleae"
"ADA02","Crepido conyzifoliae-Calamagrostietum villosae"
"ADA03","Violo sudeticae-Deschampsietum cespitosae"
"ADB","Calamagrostion arundinaceae"
"ADB01","Bupleuro longifoliae-Calamagrostietum arundinaceae"
"ADC","Salicion silesiacae"
"ADC01","Salici silesiacae-Betuletum carpaticae"
"ADC02","Pado borealis-Sorbetum aucupariae"
"ADD","Adenostylion alliariae"
"ADD01","Ranunculo platanifolii-Adenostyletum alliariae"
"ADD02","Salicetum lapponum"
"ADD03","Trollio altissimi-Geranietum sylvatici"
"ADD04","Laserpitio archangelicae-Dactylidetum glomeratae"
"ADD05","Chaerophyllo hirsuti-Cicerbitetum alpinae"
"ADE","Dryopterido filicis-maris-Athyrion distentifolii"
"ADE01","Daphno mezerei-Dryopteridetum filicis-maris"
"ADE02","Adenostylo alliariae-Athyrietum distentifolii"
"KA","Salicetea purpureae"
"KAA","Salicion triandrae"
"KAA01","Salicetum triandrae"
"KAB","Salicion elaeagno-daphnoidis"
"KAB01","Salicetum elaeagno-purpureae"
"KAB02","Salicetum purpureae"
"KAB03","Salici purpureae-Myricarietum germanicae"
"KAC","Salicion albae"
"KAC01","Salicetum albae"
"KAC02","Salicetum fragilis"
"KB","Rhamno-Prunetea"
"KBA","Prunion fruticosae"
"KBA01","Prunetum fruticosae"
"KBA02","Prunetum tenellae"
"KBB","Berberidion vulgaris"
"KBB01","Junipero communis-Cotoneasteretum integerrimi"
"KBB02","Violo hirtae-Cornetum maris"
"KBB03","Populo tremulae-Coryletum avellanae"
"KBB04","Pruno spinosae-Ligustretum vulgaris"
