NameOrig,NameKaplan,Rank,light,temperature,moisture,reaction,nutrients,salinity,light_x,temperature_x,moisture_x,reaction_x,nutrients_x
Abies alba,Abies alba,species,3,5,6,5,6,0,3,5,x,x,x
Abutilon theophrasti,Abutilon theophrasti,species,8,8,5,7,7,1,8,8,5,7,7
Acer campestre,Acer campestre,species,5,6,5,7,6,0,x,6,5,7,6
Acer monspessulanum,Acer monspessulanum,species,6,8,3,8,4,0,6,8,3,8,4
Acer negundo,Acer negundo,species,6,6,6,7,7,1,6,6,6,7,7
Acer platanoides,Acer platanoides,species,4,6,5,7,6,0,4,6,x,x,x
Acer pseudoplatanus,Acer pseudoplatanus,species,4,5,6,6,7,0,4,5,6,x,7
Acinos arvensis,Acinos arvensis,species,9,7,2,7,2,0,9,7,2,7,2
Acinos arvensis ssp. arvensis,Acinos arvensis subsp. arvensis,subspecies,9,7,2,7,2,0,9,7,2,7,2
Acinos arvensis ssp. eglandulosus,Acinos arvensis subsp. eglandulosus,subspecies,9,7,2,7,2,0,9,7,2,7,2
Aconitum anthora,Aconitum anthora,species,7,7,4,7,4,0,7,7,4,7,4
Aconitum firmum,Aconitum firmum,species,5,4,7,6,6,0,5,4,7,6,6
Aconitum firmum ssp. moravicum,Aconitum firmum subsp. moravicum,subspecies,5,4,7,6,6,0,5,4,7,6,6
Aconitum lycoctonum,Aconitum lycoctonum,species,4,5,7,7,7,0,4,5,7,7,7
Aconitum lycoctonum ssp. lycoctonum,Aconitum lycoctonum subsp. lycoctonum,subspecies,4,5,7,7,7,0,4,5,7,7,7
Aconitum lycoctonum ssp. vulparia,Aconitum lycoctonum subsp. vulparia,subspecies,4,5,7,7,7,0,4,5,7,7,7
Aconitum napellus agg.,Aconitum napellus agg.,aggregate,6,3,7,6,6,0,6,3,7,6,6
Aconitum plicatum,Aconitum plicatum,species,6,3,7,6,6,0,6,3,7,6,6
Aconitum variegatum,Aconitum variegatum,species,5,4,7,7,7,0,5,4,7,7,7
Acorus calamus,Acorus calamus,species,8,6,10,7,7,1,8,6,10,7,7
Actaea europaea,Actaea europaea,species,4,5,5,8,7,0,4,5,5,8,7
Actaea spicata,Actaea spicata,species,3,5,5,6,7,0,3,5,5,6,7
Adenophora liliifolia,Adenophora liliifolia,species,6,6,5,7,5,0,6,6,5,7,5
Adenostyles alliariae,Adenostyles alliariae,species,5,3,6,5,7,0,5,3,6,x,7
Adenostyles alliariae ssp. alliariae,Adenostyles alliariae subsp. alliariae,subspecies,5,3,6,5,7,0,5,3,6,x,7
Adonis aestivalis,Adonis aestivalis,species,8,7,3,8,5,0,8,7,3,8,5
Adonis aestivalis ssp. aestivalis,Adonis aestivalis subsp. aestivalis,subspecies,8,7,3,8,5,0,8,7,3,8,5
Adonis flammea,Adonis flammea,species,8,7,3,8,4,0,8,7,3,8,4
Adonis vernalis,Adonis vernalis,species,8,7,3,8,2,0,8,7,3,8,2
Adoxa moschatellina,Adoxa moschatellina,species,3,5,6,7,8,0,3,5,6,7,8
Aegopodium podagraria,Aegopodium podagraria,species,6,5,6,7,8,1,x,x,6,7,8
Aesculus hippocastanum,Aesculus hippocastanum,species,4,6,5,6,7,0,4,6,5,6,7
Aethusa cynapium,Aethusa cynapium,species,6,5,5,7,7,0,6,5,5,7,7
Aethusa cynapium ssp. cynapium,Aethusa cynapium subsp. cynapium,subspecies,7,5,5,7,7,0,7,5,5,7,7
Aethusa cynapium ssp. elata,Aethusa cynapium subsp. elata,subspecies,5,5,6,7,8,0,5,5,6,7,8
Agrimonia eupatoria,Agrimonia eupatoria,species,7,6,4,8,4,1,7,6,4,8,4
Agrimonia eupatoria ssp. eupatoria,Agrimonia eupatoria subsp. eupatoria,subspecies,7,6,4,8,4,1,7,6,4,8,4
Agrimonia procera,Agrimonia procera,species,6,6,5,6,5,0,6,6,5,6,5
Agropyron pectinatum,Agropyron pectinatum,species,9,8,2,8,3,0,9,8,2,8,3
Agrostemma githago,Agrostemma githago,species,7,6,4,6,6,0,7,6,x,x,x
Agrostis alpina,Agrostis alpina,species,8,2,5,6,4,0,8,2,5,6,4
Agrostis canina,Agrostis canina,species,7,5,9,3,2,0,7,5,9,3,2
Agrostis canina agg.,Agrostis canina agg.,aggregate,7,6,6,3,2,0,7,6,6,3,2
Agrostis capillaris,Agrostis capillaris,species,7,5,4,4,4,0,7,x,x,4,4
Agrostis gigantea,Agrostis gigantea,species,7,5,6,7,6,1,7,5,6,7,6
Agrostis rupestris,Agrostis rupestris,species,8,2,4,2,1,0,8,2,4,2,1
Agrostis rupestris ssp. rupestris,Agrostis rupestris subsp. rupestris,subspecies,8,2,4,2,1,0,8,2,4,2,1
Agrostis stolonifera,Agrostis stolonifera,species,7,5,7,6,5,1,7,x,7,x,5
Agrostis stolonifera agg.,Agrostis stolonifera agg.,aggregate,7,5,7,6,5,1,7,x,7,x,5
Agrostis vinealis,Agrostis vinealis,species,8,6,3,3,2,0,8,6,3,3,2
Achillea asplenifolia,Achillea asplenifolia,species,8,7,6,7,6,3,8,7,6,7,6
Achillea collina,Achillea collina,species,7,6,4,5,4,1,7,6,4,5,4
Achillea millefolium,Achillea millefolium,species,7,5,5,6,5,1,7,x,5,x,5
Achillea millefolium agg.,Achillea millefolium agg.,aggregate,7,5,5,6,5,1,7,x,5,x,5
Achillea millefolium ssp. millefolium,Achillea millefolium subsp. millefolium,subspecies,7,5,5,6,5,1,7,x,5,x,5
Achillea millefolium ssp. sudetica,Achillea millefolium subsp. sudetica,subspecies,7,4,5,6,5,0,7,4,5,x,5
Achillea nobilis,Achillea nobilis,species,8,7,3,8,2,0,8,7,3,8,2
Achillea pannonica,Achillea pannonica,species,8,7,3,8,3,1,8,7,3,8,3
Achillea pratensis,Achillea pratensis,species,7,5,5,5,6,1,7,5,5,5,6
Achillea ptarmica,Achillea ptarmica,species,7,5,8,4,4,0,7,5,8,4,4
Achillea setacea,Achillea setacea,species,9,7,2,7,2,0,9,7,2,7,2
Achillea styriaca,Achillea styriaca,species,7,6,4,6,4,0,7,6,4,6,4
Ailanthus altissima,Ailanthus altissima,species,7,8,5,7,7,1,7,8,5,7,7
Aira caryophyllea,Aira caryophyllea,species,9,6,2,4,2,0,9,6,2,4,2
Aira praecox,Aira praecox,species,8,6,3,2,2,0,8,6,3,2,2
Ajuga genevensis,Ajuga genevensis,species,7,6,4,7,3,0,7,x,4,7,3
Ajuga chamaepitys,Ajuga chamaepitys,species,8,8,3,8,4,0,8,8,3,8,4
Ajuga chamaepitys ssp. chamaepitys,Ajuga chamaepitys subsp. chamaepitys,subspecies,8,8,3,8,4,0,8,8,3,8,4
Ajuga pyramidalis,Ajuga pyramidalis,species,7,5,5,1,2,0,7,5,5,1,2
Ajuga reptans,Ajuga reptans,species,5,5,6,6,6,0,5,x,6,6,6
Alcea biennis,Alcea biennis,species,8,7,4,8,4,1,8,7,4,8,4
Alcea biennis ssp. biennis,Alcea biennis subsp. biennis,subspecies,8,7,4,8,4,1,8,7,4,8,4
Aldrovanda vesiculosa,Aldrovanda vesiculosa,species,5,8,12,7,4,0,5,8,12,7,4
Alchemilla crinita,Alchemilla crinita,species,7,3,6,5,4,0,7,3,6,x,4
Alchemilla glabra,Alchemilla glabra,species,6,4,5,6,6,0,6,4,5,6,6
Alchemilla glaucescens,Alchemilla glaucescens,species,7,6,5,4,4,0,7,6,5,4,4
Alchemilla monticola,Alchemilla monticola,species,6,5,5,6,4,0,6,5,5,6,4
Alchemilla subcrenata,Alchemilla subcrenata,species,7,4,5,5,6,0,7,4,5,5,6
Alchemilla vulgaris,Alchemilla vulgaris,species,6,4,5,6,6,0,6,4,5,6,6
Alchemilla xanthochlora,Alchemilla xanthochlora,species,6,4,7,7,4,0,6,4,7,7,x
Alisma gramineum,Alisma gramineum,species,7,7,11,7,5,1,7,7,11,7,5
Alisma lanceolatum,Alisma lanceolatum,species,7,7,10,7,7,1,7,7,10,7,7
Alisma plantago-aquatica,Alisma plantago-aquatica,species,7,5,10,7,8,1,7,5,10,x,8
Alliaria petiolata,Alliaria petiolata,species,5,6,5,7,8,0,x,6,5,7,8
Allium angulosum,Allium angulosum,species,7,7,8,7,5,2,7,7,8,7,5
Allium carinatum,Allium carinatum,species,7,5,5,7,4,1,7,5,5,7,4
Allium flavum,Allium flavum,species,8,7,2,7,2,0,8,7,2,7,2
Allium flavum ssp. flavum,Allium flavum subsp. flavum,subspecies,8,7,2,7,2,0,8,7,2,7,2
Allium oleraceum,Allium oleraceum,species,6,6,4,7,4,0,6,6,4,7,4
Allium paradoxum,Allium paradoxum,species,6,6,5,7,7,0,6,6,5,7,7
Allium paradoxum var. normale,Allium paradoxum var. normale,variant,6,6,5,7,7,0,6,6,5,7,7
Allium paradoxum var. paradoxum,Allium paradoxum var. paradoxum,variant,6,6,5,7,7,0,6,6,5,7,7
Allium rotundum,Allium rotundum,species,7,7,4,8,4,0,7,7,4,8,4
Allium rotundum ssp. rotundum,Allium rotundum subsp. rotundum,subspecies,7,7,4,8,4,0,7,7,4,8,4
Allium sativum,Allium sativum,species,8,7,5,7,6,1,8,7,5,7,6
Allium scorodoprasum,Allium scorodoprasum,species,6,6,6,7,7,0,6,6,6,7,7
Allium senescens,Allium senescens,species,8,7,2,6,3,0,8,7,2,6,3
Allium senescens ssp. montanum,Allium senescens subsp. montanum,subspecies,8,7,2,6,3,0,8,7,2,6,3
Allium schoenoprasum,Allium schoenoprasum,species,7,5,7,6,4,0,7,5,x,6,4
Allium schoenoprasum ssp. schoenoprasum,Allium schoenoprasum subsp. schoenoprasum,subspecies,7,5,7,6,4,0,7,5,x,6,4
Allium sphaerocephalon,Allium sphaerocephalon,species,8,8,3,8,3,0,8,8,3,8,3
Allium sphaerocephalon ssp. sphaerocephalon,Allium sphaerocephalon subsp. sphaerocephalon,subspecies,8,8,3,8,3,0,8,8,3,8,3
Allium strictum,Allium strictum,species,9,6,2,7,2,0,9,6,2,7,2
Allium ursinum,Allium ursinum,species,3,6,6,7,8,0,3,6,6,7,8
Allium ursinum ssp. ucrainicum,Allium ursinum subsp. ucrainicum,subspecies,3,6,6,7,8,0,3,6,6,7,8
Allium ursinum ssp. ursinum,Allium ursinum subsp. ursinum,subspecies,3,6,6,7,8,0,3,6,6,7,8
Allium victorialis,Allium victorialis,species,6,3,5,6,5,0,6,3,5,6,5
Allium vineale,Allium vineale,species,6,7,4,7,6,1,6,7,4,x,6
Alnus alnobetula,Alnus alnobetula,species,7,3,6,4,5,0,7,3,6,4,5
Alnus glutinosa,Alnus glutinosa,species,5,5,9,6,7,1,x,5,9,6,7
Alnus incana,Alnus incana,species,5,4,7,6,6,0,x,4,7,6,6
Alnus incana ssp. incana,Alnus incana subsp. incana,subspecies,5,4,7,6,6,0,x,4,7,6,6
Alopecurus aequalis,Alopecurus aequalis,species,8,5,9,6,8,2,8,5,9,x,8
Alopecurus geniculatus,Alopecurus geniculatus,species,8,6,9,7,7,1,8,6,9,7,7
Alopecurus myosuroides,Alopecurus myosuroides,species,7,6,5,7,7,0,7,6,5,7,7
Alopecurus pratensis,Alopecurus pratensis,species,7,5,6,6,7,1,7,x,6,6,7
Althaea hirsuta,Althaea hirsuta,species,7,8,4,8,3,1,7,8,4,8,3
Althaea officinalis,Althaea officinalis,species,7,7,7,8,6,4,7,7,7,8,6
Alyssum alyssoides,Alyssum alyssoides,species,9,6,3,8,3,0,9,6,3,8,3
Alyssum montanum,Alyssum montanum,species,9,7,2,8,2,0,9,7,2,8,2
