"","releve_nr","coverscale","field_nr","country","author","date","syntaxon","altitude","exposition","inclinatio","cov_trees","cov_shrubs","cov_herbs","cov_mosses","deg_lat","deg_lon","bias_gps","locality"
"1",1,"02","1/2007","CZ","0669",20070611,NA,412,135,4,80,15,20,1,49.2200277777778,16.6773888888889,7,"Brno, Maloměřice, Hády; 1,7 km od středu městské části"
"2",2,"02","2/2007","CZ","0832",20070702,NA,458,150,24,80,0,25,10,49.3375833333333,16.5722222222222,5,"Svinošice (Brno, Kuřim); 450 m SZ od středu obce"
"3",3,"02","3/2007","CZ","0832",20070702,NA,414,150,13,80,0,25,8,49.3580277777778,16.5627222222222,6,"Lažany (Brno, Kuřim); 1 km VSV od středu obce"
"4",4,"02","4/2007","CZ","0832",20070702,NA,379,210,21,75,0,30,10,49.3573333333333,16.4870555555556,10,"Všechovice (Tišnov); 500 m Z od středu obce"
"5",5,"02","5/2007","CZ","0832",20070703,NA,374,NA,NA,70,0,35,8,49.0361666666667,16.3605,6,"Vedrovice (Moravský Krumlov), Krumlovský les; 2,2 km SZ od středu obce"
"6",6,"02","6/2007","CZ","0832",20070703,NA,380,170,10,65,1,60,3,49.0341944444444,16.3578611111111,5,"Vedrovice (Moravský Krumlov), Krumlovský les; 2,1 km SZ od středu obce"
"7",7,"02","7/2007","CZ","0832",20070703,NA,373,65,6,65,0,70,5,49.0329166666667,16.3547777777778,6,"Vedrovice (Moravský Krumlov), Krumlovský les; 2,2 km SZ od středu obce"
"8",8,"02","8/2007","CZ","0832",20070703,NA,390,NA,NA,85,0,70,5,49.0481388888889,16.3968611111111,14,"Vedrovice (Moravský Krumlov), Krumlovský les; 3,3 km SSV od středu obce"
"9",9,"02","9/2007","CZ","0832",20070711,NA,255,80,38,80,20,15,10,49.1248611111111,16.2929722222222,6,"Čučice (Oslavany), Přírodní park Oslava; 1,7 km JV od středu obce"
"10",10,"02","10/2007","CZ","0832",20070711,NA,340,220,13,70,0,75,3,49.1284444444444,16.2728888888889,4,"Čučice (Oslavany), Přírodní park Oslava; 1 km JJZ od středu obce"
"11",11,"02","11/2007","CZ","0832",20070711,NA,368,95,29,85,15,8,5,49.1371111111111,16.2519444444444,5,"Senorady (Oslavany), Přírodní park Oslava; 1,2 km SSV od středu obce"
"12",14,"02","14/2007","CZ","0669",20070719,NA,280,340,47,60,20,30,8,49.2398055555556,16.6723055555556,11,"Bílovice n. Svitavou; 800 m J od středu obce"
"13",16,"02","16/2007","CZ","0669",20070720,NA,392,120,33,75,0,60,20,49.4079444444444,16.3685833333333,9,"Borač (Tišnov), Přírodní park Svratecká vrchovina; 950 m SV od středu obce"
"14",18,"02","18/2007","CZ","0669",20070720,NA,340,260,24,70,0,85,3,49.3775555555556,16.3971111111111,9,"Štěpánovice (Tišnov), Přírodní park Svratecká vrchovina; 850 m SV od středu obce"
"15",28,"02","28/2007","CZ","0669",20070729,NA,431,NA,NA,70,0,55,8,49.0230555555556,15.9529722222222,6,"Rozkoš (Moravské Budějovice); 1,9 km ZJZ od středu obce"
"16",29,"02","29/2007","CZ","0669",20070729,NA,429,NA,NA,85,0,30,5,49.0208888888889,15.9522222222222,6,"Rozkoš (Moravské Budějovice); 2 km ZJZ od středu obce"
"17",31,"02","31/2007","CZ","0669",20070729,NA,411,NA,NA,75,15,25,5,49.01075,15.9663055555556,0,"Střelice (Moravské Budějovice), Přírodní park Jevišovka; 2,2 km SSZ od středu obce"
