releve_nr,species,layer,cover_perc
1,Acer campestre,1,18
1,Acer campestre,7,2
1,Acer platanoides,7,1
1,Anemone,6,2
1,Bromus ramosus agg.,6,1
1,Carex digitata,6,3
1,Carex michelii,6,1
1,Carex montana,6,2
1,Carpinus betulus,7,2
1,Cephalanthera damasonium,6,1
1,Convallaria majalis,6,4
1,Cornus mas,4,8
1,Corylus avellana,7,1
1,Crataegus laevigata,4,2
1,Crataegus monogyna s.lat.,7,2
1,Euonymus verrucosus,7,3
1,Fragaria moschata,6,1
1,Fraxinus excelsior,7,2
1,Galium sylvaticum,6,3
1,Geranium robertianum,6,1
1,Geum urbanum,6,2
1,Hepatica nobilis,6,3
1,Hieracium lachenalii,6,2
1,Hieracium murorum,6,2
1,Ligustrum vulgare,7,2
1,Lonicera xylosteum,4,3
1,Maianthemum bifolium,6,1
1,Melica nutans,6,2
1,Platanthera bifolia,6,1
1,Poa nemoralis,6,2
1,Polygonatum odoratum,6,2
1,Primula veris,6,1
1,Prunus avium,7,1
1,Pulmonaria mollis,6,1
1,Quercus petraea agg.,1,63
1,Quercus petraea agg.,7,4
1,Rhamnus cathartica,7,1
1,Rosa,7,1
1,Rubus fruticosus agg.,6,2
1,Sanicula europaea,6,1
1,Vincetoxicum hirundinaria,6,1
1,Viola hirta,6,1
1,Viola mirabilis,6,2
1,Viola reichenbachiana,6,3
2,Carex digitata,6,2
2,Carpinus betulus,7,3
2,Cytisus nigricans,6,1
2,Festuca ovina,6,3
2,Fraxinus excelsior,7,1
2,Galium rotundifolium,6,1
2,Hieracium lachenalii,6,3
2,Hieracium murorum,6,2
2,Hieracium sabaudum s.lat.,6,1
2,Hypericum perforatum,6,1
2,Luzula luzuloides,6,18
2,Melampyrum pratense,6,2
2,Melica uniflora,6,2
2,Poa nemoralis,6,3
2,Quercus petraea agg.,1,63
2,Quercus petraea agg.,7,8
2,Veronica officinalis,6,1
3,Campanula persicifolia,6,1
3,Convallaria majalis,6,3
3,Festuca ovina,6,4
3,Galium odoratum,6,2
3,Galium pumilum agg.,6,2
3,Galium rotundifolium,6,2
3,Hieracium lachenalii,6,2
3,Hieracium murorum,6,3
3,Luzula luzuloides,6,3
3,Melampyrum pratense,6,4
3,Melica uniflora,6,2
3,Poa nemoralis,6,4
3,Quercus petraea agg.,1,63
3,Quercus petraea agg.,7,4
3,Senecio nemorensis agg.,6,1
3,Veronica chamaedrys agg.,6,1
4,Anthericum ramosum,6,3
4,Carpinus betulus,1,18
4,Carpinus betulus,7,2
4,Cytisus nigricans,6,1
4,Dryopteris filix-mas,6,1
4,Fagus sylvatica,7,1
4,Festuca ovina,6,1
4,Fraxinus excelsior,7,2
4,Genista tinctoria,6,1
4,Hieracium lachenalii,6,2
4,Hieracium murorum,6,3
4,Hieracium sabaudum s.lat.,6,2
4,Hypericum montanum,6,1
4,Impatiens parviflora,6,1
4,Melittis melissophyllum,6,1
4,Poa nemoralis,6,4
4,Prunus avium,7,2
4,Quercus petraea agg.,1,38
4,Quercus petraea agg.,7,8
4,Hylotelephium telephium agg.,6,1
4,Veronica officinalis,6,1
4,Vincetoxicum hirundinaria,6,2
5,Agrostis capillaris,6,4
5,Ajuga genevensis,6,2
5,Calamagrostis arundinacea,6,2
5,Carex humilis,6,2
5,Fallopia dumetorum,6,1
5,Festuca ovina,6,4
5,Hieracium lachenalii,6,2
5,Hypericum perforatum,6,1
5,Luzula luzuloides,6,3
5,Melittis melissophyllum,6,1
5,Poa nemoralis,6,18
5,Polygonatum odoratum,6,2
5,Quercus petraea agg.,1,63
5,Quercus petraea agg.,7,3
5,Vincetoxicum hirundinaria,6,1
6,Ajuga genevensis,6,2
6,Alliaria petiolata,6,3
6,Allium oleraceum,6,1
6,Carex muricata agg.,6,2
6,Fallopia dumetorum,6,4
6,Galium pumilum agg.,6,1
6,Glechoma hederacea,6,3
6,Hypericum perforatum,6,1
6,Lapsana communis,6,3
6,Ligustrum vulgare,4,2
6,Ligustrum vulgare,7,2
6,Moehringia trinervia,6,2
6,Myosotis sylvatica,6,2
6,Poa nemoralis,6,38
6,Polygonatum odoratum,6,2
6,Quercus petraea agg.,1,38
6,Quercus petraea agg.,7,4
6,Rosa,4,2
6,Rosa,7,1
6,Urtica dioica,6,1
6,Vincetoxicum hirundinaria,6,4
6,Viola collina,6,3
7,Agrostis capillaris,6,2
7,Ajuga genevensis,6,1
7,Alliaria petiolata,6,1
7,Calamagrostis epigejos,6,1
7,Carex michelii,6,2
7,Carex muricata agg.,6,1
7,Crataegus monogyna s.lat.,7,2
7,Fallopia dumetorum,6,3
7,Festuca ovina,6,3
7,Hypericum perforatum,6,2
7,Ligustrum vulgare,7,2
7,Moehringia trinervia,6,2
7,Poa pratensis agg.,6,1
7,Poa nemoralis,6,38
7,Quercus petraea agg.,1,63
7,Quercus petraea agg.,7,8
7,Rosa,7,2
7,Rubus fruticosus agg.,6,2
7,Tilia platyphyllos,7,1
7,Veronica chamaedrys agg.,6,2
7,Vincetoxicum hirundinaria,6,3
7,Viola collina,6,2
7,Viola reichenbachiana,6,3
8,Agrostis capillaris,6,2
8,Calamagrostis arundinacea,6,38
8,Carex michelii,6,4
8,Carex montana,6,8
8,Carex muricata agg.,6,2
8,Convallaria majalis,6,2
8,Festuca heterophylla,6,3
8,Festuca ovina,6,3
8,Fragaria moschata,6,2
8,Galium odoratum,6,3
8,Galium pumilum agg.,6,2
8,Galium mollugo agg.,6,2
8,Lathyrus vernus,6,2
8,Luzula luzuloides,6,2
8,Melica nutans,6,3
8,Poa pratensis agg.,6,3
8,Poa nemoralis,6,18
8,Quercus petraea agg.,1,38
8,Quercus petraea agg.,7,4
8,Scrophularia nodosa,6,1
8,Tilia cordata,1,38
8,Veronica officinalis,6,2
8,Vicia sepium,6,1
8,Viola reichenbachiana,6,2
9,Acer campestre,4,2
9,Acer campestre,7,2
9,Acer platanoides,1,3
9,Acer platanoides,7,2
9,Asplenium trichomanes,6,2
9,Brachypodium pinnatum,6,1
9,Campanula persicifolia,6,2
9,Carpinus betulus,1,18
9,Carpinus betulus,4,8
9,Carpinus betulus,7,2
9,Euonymus verrucosus,4,3
9,Festuca ovina,6,2
9,Galium pumilum agg.,6,2
9,Hieracium murorum,6,4
9,Hieracium sabaudum s.lat.,6,2
9,Lonicera xylosteum,4,2
9,Luzula luzuloides,6,4
9,Poa nemoralis,6,4
9,Polypodium vulgare agg.,6,3
9,Quercus petraea agg.,1,38
9,Quercus petraea agg.,4,3
9,Quercus petraea agg.,7,3
9,Hylotelephium telephium agg.,6,3
9,Stellaria holostea,6,3
9,Tanacetum corymbosum,6,3
9,Tilia cordata,4,3
9,Veronica chamaedrys agg.,6,2
9,Vincetoxicum hirundinaria,6,2
10,Campanula persicifolia,6,1
10,Carex humilis,6,3
10,Carex michelii,6,1
10,Crataegus monogyna s.lat.,7,1
10,Digitalis grandiflora,6,1
10,Euonymus verrucosus,7,3
10,Euphorbia cyparissias,6,2
10,Festuca ovina,6,2
10,Genista tinctoria,6,3
10,Hypericum perforatum,6,2
10,Viscaria vulgaris,6,1
10,Poa nemoralis,6,38
10,Quercus petraea agg.,1,63
10,Quercus petraea agg.,7,38
10,Rosa,7,1
10,Tanacetum corymbosum,6,2
10,Trifolium alpestre,6,2
10,Verbascum chaixii subsp. austriacum,6,2
10,Vincetoxicum hirundinaria,6,8
11,Acer platanoides,7,1
11,Anthericum ramosum,6,2
11,Carpinus betulus,1,38
11,Carpinus betulus,4,8
11,Carpinus betulus,7,2
11,Digitalis grandiflora,6,2
11,Festuca ovina,6,2
11,Hieracium sabaudum s.lat.,6,1
11,Hypericum perforatum,6,1
11,Luzula luzuloides,6,4
11,Viscaria vulgaris,6,3
11,Mycelis muralis,6,1
11,Poa nemoralis,6,3
11,Polygonatum odoratum,6,2
11,Polypodium vulgare agg.,6,1
11,Quercus petraea agg.,1,63
11,Quercus petraea agg.,7,2
11,Tilia cordata,7,2
11,Vincetoxicum hirundinaria,6,2
14,Calamagrostis arundinacea,6,3
14,Campanula persicifolia,6,3
14,Campanula rotundifolia agg.,6,2
14,Arabidopsis arenosa,6,2
14,Carex digitata,6,1
14,Carpinus betulus,4,8
14,Carpinus betulus,7,1
14,Convallaria majalis,6,2
14,Epilobium montanum,6,2
14,Festuca ovina,6,1
14,Fragaria vesca,6,2
14,Galium pumilum agg.,6,2
14,Galium sylvaticum,6,3
14,Geranium robertianum,6,2
14,Hepatica nobilis,6,1
14,Hieracium lachenalii,6,2
14,Hieracium murorum,6,4
14,Hieracium sabaudum s.lat.,6,2
14,Impatiens parviflora,6,4
