"SPECIES_NR","TURBOVEG_NAME","KAPLAN_PLUS_NAME","KAPLAN_PLUS_NAME_SIMPLE","AUTHORSHIP","CZECHVEG_ESY_NAME","CZECHVEG_ESY_NAME_SUBSP","PLANT_GROUP"
1,"Abies alba","Abies alba","Abies alba","Mill.","Abies alba","Abies alba","vascular"
2,"Abies species","Abies","Abies","Mill.","Abies species","Abies","vascular"
3,"Abietinella abietina","Abietinella abietina","Abietinella abietina","(Hedw.) M.Fleisch.","Abietinella abietina","Abietinella abietina","bryophyte"
4,"Abietinella abietina var. abietina","Abietinella abietina var. abietina","Abietinella abietina var. abietina","(Hedw.) M.Fleisch.","Abietinella abietina","Abietinella abietina","bryophyte"
5,"Abietinella abietina var. hystricosa","Abietinella abietina var. hystricosa","Abietinella abietina var. hystricosa","(Mitt.) Sakurai ex Ignatov & Ignatova","Abietinella abietina","Abietinella abietina","bryophyte"
6,"Abietinella species","Abietinella","Abietinella","Müll.Hal.","Abietinella species","Abietinella","bryophyte"
7,"Abrothallus bertianus","Abrothallus bertianus","Abrothallus bertianus","(Sommerf.) Arnold","Abrothallus bertianus","Abrothallus bertianus","lichen"
8,"Abrothallus caerulescens","Abrothallus caerulescens","Abrothallus caerulescens","I.Kotte","Abrothallus caerulescens","Abrothallus caerulescens","lichen"
9,"Abrothallus cetrariae","Abrothallus cetrariae","Abrothallus cetrariae","I.Kotte","Abrothallus cetrariae","Abrothallus cetrariae","lichen"
10,"Abrothallus microspermus","Abrothallus microspermus","Abrothallus microspermus","Tul.","Abrothallus microspermus","Abrothallus microspermus","lichen"
11,"Abrothallus parmelianus","Abrothallus parmeliarum","Abrothallus parmeliarum","(Sommerf.) Arnold","Abrothallus parmelianus","Abrothallus parmelianus","lichen"
12,"Abrothallus peyritschii","Abrothallus peyritschii","Abrothallus peyritschii","(Stein) I.Kotte","Abrothallus peyritschii","Abrothallus peyritschii","lichen"
13,"Abrothallus prodiens","Abrothallus prodiens","Abrothallus prodiens","(Harm.) Diederich & Hafellner","Abrothallus prodiens","Abrothallus prodiens","lichen"
14,"Abrothallus usneae","Abrothallus usneae","Abrothallus usneae","Rabenh.","Abrothallus usneae","Abrothallus usneae","lichen"
15,"Abrothallus species","Abrothallus","Abrothallus","De Not.","Abrothallus species","Abrothallus","lichen"
16,"Absconditella annexa","Absconditella annexa","Absconditella annexa","(Arnold) Vĕzda","Absconditella annexa","Absconditella annexa","lichen"
17,"Absconditella delutula","Absconditella delutula","Absconditella delutula","(Nyl.) Coppins & H.Kilias","Absconditella delutula","Absconditella delutula","lichen"
18,"Absconditella fossarum","Absconditella fossarum","Absconditella fossarum","Vezda & Pisút","Absconditella fossarum","Absconditella fossarum","lichen"
19,"Absconditella lignicola","Absconditella lignicola","Absconditella lignicola","Vĕzda & Pišút","Absconditella lignicola","Absconditella lignicola","lichen"
20,"Absconditella sphagnorum","Absconditella sphagnorum","Absconditella sphagnorum","Vĕzda & Poelt","Absconditella sphagnorum","Absconditella sphagnorum","lichen"
21,"Absconditella trivialis","Absconditella trivialis","Absconditella trivialis","(Willey ex Tuck.) Vĕzda","Absconditella trivialis","Absconditella trivialis","lichen"
22,"Absconditella species","Absconditella","Absconditella","Vĕzda, 1965","Absconditella species","Absconditella","lichen"
23,"Abutilon theophrasti","Abutilon theophrasti","Abutilon theophrasti","Medik.","Abutilon theophrasti","Abutilon theophrasti","vascular"
24,"Abutilon species","Abutilon","Abutilon","Mill.","Abutilon species","Abutilon","vascular"
25,"Acalypha virginica","Acalypha virginica","Acalypha virginica","L.","Acalypha virginica","Acalypha virginica","vascular"
26,"Acalypha species","Acalypha","Acalypha","L.","Acalypha species","Acalypha","vascular"
27,"Acarospora admissa","Acarospora admissa","Acarospora admissa","(Nyl.) Kullh.","Acarospora admissa","Acarospora admissa","lichen"
28,"Acarospora atrata","Acarospora atrata","Acarospora atrata","Hue","Acarospora atrata","Acarospora atrata","lichen"
29,"Acarospora austriaca","Acarospora austriaca","Acarospora austriaca","H.Magn.","Acarospora austriaca","Acarospora austriaca","lichen"
30,"Acarospora badiofusca","Acarospora badiofusca","Acarospora badiofusca","(Nyl.) Th.Fr.","Acarospora badiofusca","Acarospora badiofusca","lichen"
31,"Acarospora badiofusca ssp. badiorubra","Acarospora badiofusca subsp. badiorubra","Acarospora badiofusca subsp. badiorubra","(Nyl.) Th.Fr.","Acarospora badiofusca ssp. badiorubra","Acarospora badiofusca subsp. badiorubra","lichen"
32,"Acarospora bullata","Acarospora bullata","Acarospora bullata","Anzi","Acarospora bullata","Acarospora bullata","lichen"
33,"Acarospora cervina","Acarospora cervina","Acarospora cervina","A.Massal.","Acarospora cervina","Acarospora cervina","lichen"
34,"Acarospora cervina var. conspersa","Acarospora cervina var. conspersa","Acarospora cervina var. conspersa","(Ach.) Arnold","Acarospora cervina var. conspersa","Acarospora cervina var. conspersa","lichen"
35,"Acarospora complanata","Acarospora complanata","Acarospora complanata","H.Magn.","Acarospora complanata","Acarospora complanata","lichen"
36,"Acarospora freyi","Acarospora freyi","Acarospora freyi","A.Massal., 1852","Acarospora freyi","Acarospora freyi","lichen"
37,"Acarospora fuscata","Acarospora fuscata","Acarospora fuscata","(Schrad.) Th. Fr.","Acarospora fuscata","Acarospora fuscata","lichen"
38,"Acarospora gallica","Acarospora gallica","Acarospora gallica","H.Magn.","Acarospora gallica","Acarospora gallica","lichen"
39,"Acarospora glaucocarpa","Acarospora glaucocarpa","Acarospora glaucocarpa","(Ach.) Körb.","Acarospora glaucocarpa","Acarospora glaucocarpa","lichen"
40,"Acarospora heppii","Acarospora heppii","Acarospora heppii","(Arnold) K.Knudsen & Arcadia","Acarospora heppii","Acarospora heppii","lichen"
41,"Acarospora heufleriana","Acarospora heufleriana","Acarospora heufleriana","Körb.","Acarospora heufleriana","Acarospora heufleriana","lichen"
42,"Acarospora hospitans","Acarospora hospitans","Acarospora hospitans","H.Magn.","Acarospora hospitans","Acarospora hospitans","lichen"
43,"Acarospora hostilis","Acarospora hostilis","Acarospora hostilis","A.Massal., 1852","Acarospora hostilis","Acarospora hostilis","lichen"
44,"Acarospora hungarica","Acarospora hungarica","Acarospora hungarica","H.Magn., 1929","Acarospora hungarica","Acarospora hungarica","lichen"
45,"Acarospora impressula","Acarospora impressula","Acarospora impressula","Th.Fr.","Acarospora impressula","Acarospora impressula","lichen"
46,"Acarospora insolata","Acarospora insolata","Acarospora insolata","H.Magn.","Acarospora insolata","Acarospora insolata","lichen"
47,"Acarospora intricata","Acarospora intricata","Acarospora intricata","(H.Magn.) Hafellner","Acarospora intricata","Acarospora intricata","lichen"
48,"Acarospora macrospora","Acarospora macrospora","Acarospora macrospora","A.Massal. ex Bagl.","Acarospora macrospora","Acarospora macrospora","lichen"
49,"Acarospora melaphaca","Acarospora melaphaca","Acarospora melaphaca","Arnold","Acarospora melaphaca","Acarospora melaphaca","lichen"
50,"Acarospora miskoliensis","Acarospora miskoliensis","Acarospora miskoliensis","H.Magn.","Acarospora miskoliensis","Acarospora miskoliensis","lichen"
51,"Acarospora nitrophila","Acarospora nitrophila","Acarospora nitrophila","H.Magn.","Acarospora nitrophila","Acarospora nitrophila","lichen"
