species,height,seed_mass
Quercus petraea agg.,25,974.7
Acer campestre,7.5,54.34828235
Crataegus laevigata,5.5,275.9989
Cornus mas,4,487.5333333
Lonicera xylosteum,2,164.07
Galium sylvaticum,0.85,1.102666667
Carex digitata,0.2,1.445
Melica nutans,0.45,2.492059259
Polygonatum odoratum,0.45,264.3043333
Geum urbanum,0.55,2.047383333
Anemone species,,
Viola mirabilis,0.2,1.7
Hieracium murorum,0.4,0.4
Platanthera bifolia,0.35,
Convallaria majalis,0.2,133.758175
Hepatica nobilis,0.1,2.31525
Carex montana,0.25,0.65
Poa nemoralis,0.55,0.181745455
Sanicula europaea,0.3,2.873210714
Viola reichenbachiana,0.15,2.0248
Pulmonaria mollis,0.35,
Rubus fruticosus agg.,0.4,
Primula veris,0.12,0.803173333
Cephalanthera damasonium,0.4,0.005
Hieracium lachenalii,0.6,0.44
Geranium robertianum,0.3,1.453258333
Bromus benekenii,1.15,5.7818
Fragaria moschata,0.225,
Maianthemum bifolium,0.15,15.04444444
Carex michelii,0.3,3.86
Vincetoxicum hirundinaria,0.7,7.423333333
Viola hirta,0.15,3.09404
Euonymus verrucosus,2.5,
Fraxinus excelsior,27.5,58.4213475
Crataegus species,,
Ligustrum vulgare,3.5,35.438425
Rosa species,,
Prunus avium,19,390.0449714
Acer platanoides,25,100.828
Carpinus betulus,18,41.81531429
Corylus avellana,4,805.65
Rhamnus cathartica,2.75,26.09664
Luzula luzuloides,0.5,0.356666667
Veronica officinalis,0.075,0.122816667
Melampyrum pratense,0.275,5.66542
Festuca ovina,0.4,0.435720879
Hypericum perforatum,0.65,0.118575
Melica uniflora,0.4,2.899963636
Hieracium sabaudum,1,0.4701
Galium rotundifolium,0.25,0.955333333
Galium odoratum,0.25,6.761222222
Galium pumilum agg.,0.325,0.429
Senecio nemorensis agg.,1,
Campanula persicifolia,0.65,0.0706
Veronica chamaedrys agg.,0.225,
Hypericum montanum,0.55,0.064584615
Anthericum ramosum,0.55,4.244
Genista tinctoria,0.65,3.571542857
Dryopteris filix-mas,0.8,
Impatiens parviflora,0.55,6.892666667
Hylotelephium telephium agg.,0.6,0.04064
Fagus sylvatica,37.5,177.0824
Cytisus nigricans,1.15,4.966666667
Melittis melissophyllum,0.4,5.39
Calamagrostis arundinacea,1.05,0.085
Fallopia dumetorum,1.25,3.3956
Ajuga genevensis,0.2,1.754
Agrostis capillaris,0.45,0.0641
Carex humilis,0.125,1.64416
Alliaria petiolata,0.55,2.348
Viola collina,0.125,1.9
Glechoma hederacea,0.275,0.6684
Allium oleraceum,0.525,11.36966667
Myosotis sylvatica,0.4,0.53825
Carex muricata agg.,0.65,1.906498698
Lapsana communis,0.7,1.0212
Urtica dioica,1.45,0.179769231
Moehringia trinervia,0.2,0.21
Tilia platyphyllos,27.5,146.54
Calamagrostis epigejos,1.05,0.079733333
Poa angustifolia,0.5,0.209347887
Tilia cordata,25,50.55
Lathyrus vernus,0.325,16.258
Scrophularia nodosa,0.65,0.0952
Festuca heterophylla,0.85,1.322
Vicia sepium,0.5,22.7702
Galium album subsp. pycnotrichum,0.85,0.526
Asplenium trichomanes,0.135,
Polypodium vulgare,0.2,
Stellaria holostea,0.2,2.72845
Tanacetum corymbosum,0.8,0.51
Brachypodium pinnatum,0.7,3.485333333
Euphorbia cyparissias,0.225,1.9624
Verbascum chaixii subsp. austriacum,0.95,
Trifolium alpestre,0.35,3.106666667
Digitalis grandiflora,0.7,0.166
Mycelis muralis,0.55,0.31632
Pinus sylvestris,22.5,7.572
Epilobium montanum,0.6,0.1267
Fragaria vesca,0.15,19.87672667
Campanula rotundifolia agg.,0.375,0.064435714
Arabidopsis arenosa,0.275,0.109
Prunus species,,
Viscaria vulgaris,0.5,0.079363636
Sorbus aucuparia,8,121.4390444
Silene nutans,0.35,0.322707692
Genista germanica,0.4,2.878
Astragalus glycyphyllos,1.05,5.150033333
Galium mollugo agg.,1,0.732290909
Hedera helix,11,73.695175
Asarum europaeum,0.075,3.442222222
Cyclamen purpurascens,0.085,
Campanula rapunculoides,0.55,0.173114286
Galium aparine,1.3,9.445486667
Clinopodium vulgare,0.45,0.425483333
Carex pilulifera,0.25,1.226612903
Avenella flexuosa,0.5,0.311700901
Picea abies,25.5,6.663666667
Viscum album subsp. album,0.7,130.4073333
Quercus robur,30,3487.466667
Acer pseudoplatanus,30,69.2004
Deschampsia cespitosa,1.05,0.211112281
Luzula pilosa,0.225,0.9704
Knautia drymeia,0.6,2.6
Carex pallescens,0.35,1.252583333
Dryopteris dilatata,0.7,
Galeobdolon luteum s.lat.,0.175,
Ajuga reptans,0.165,1.46519
Milium effusum,0.85,1.137
Carex pilosa,0.4,3.32
Lathyrus niger,0.65,18.786
Dactylis polygama,0.85,
Orobanche species,,
Euphorbia amygdaloides,0.35,4.18776
Pulmonaria officinalis s.lat.,0.225,3.64
Luzula campestris agg.,0.25,0.386598894
Calluna vulgaris,0.325,0.029111111
Allium senescens subsp. montanum,0.25,1.68
Frangula alnus,2.5,125.9291429
Hieracium maculatum,0.55,0.4856
Senecio viscosus,0.4,0.537166667
Scleranthus perennis,0.115,1.38335
Allium flavum,0.4,1.357
Veronica dillenii,0.175,
Galeopsis species,,
Thymus pulegioides,0.225,0.152106667
Trifolium arvense,0.2,0.328710833
Genista pilosa,0.225,2.669
Pilosella officinarum,0.175,0.244666667
Arabidopsis thaliana,0.175,0.02088
Koeleria macrantha,0.4,0.274142857
Sedum reflexum,0.175,
Achillea millefolium agg.,0.55,0.145791667
Asplenium septentrionale,0.1,
Myosotis ramosissima,0.25,0.20185
Carex praecox,0.225,
Sorbus torminalis,15,119.0188
Epilobium species,,
Fallopia convolvulus,0.25,4.038
Polygonatum multiflorum,0.5,94.42268571
Hieracium schmidtii,0.275,0.633
Cardamine impatiens,0.45,0.278133333
Vaccinium myrtillus,0.375,40.80735556
Galeopsis tetrahit s.lat.,0.65,4.347911111
Brachypodium sylvaticum,0.9,2.785254545
Carex otomana,0.75,
Chenopodium polyspermum,0.35,0.265
Chenopodium album agg.,0.95,0.53846
Symphytum tuberosum,0.35,6.2392857
Chaerophyllum temulum,0.6,2.737578947
Euphorbia dulcis,0.35,2.121
Vicia pisiformis,1.4,38.44
Galeopsis pubescens,0.35,4.409
Prunus spinosa,1.75,448.2353556
Ribes uva-crispa,1,3.1306
Melampyrum arvense,0.35,14.0926
Secale cereale,1.1,
Alnus glutinosa,22.5,2.3111
Ulmus glabra,25,11.48855
Populus x canadensis,,
Viburnum opulus,3,145.1769429
Euonymus europaeus,3.5,52.1392
Aegopodium podagraria,0.75,1.680933333
Vicia sylvatica,1.25,21.90166667
Mercurialis perennis,0.25,5.551428571
Equisetum arvense,0.4,
Anemone nemorosa,0.175,2.1444
Heracleum sphondylium,1.15,5.91216
Lysimachia nummularia,0.055,0.5
Ranunculus acris,0.75,1.72743
Sambucus nigra,4.25,40.9057
Campanula trachelium,0.6,0.231155556
Crataegus monogyna s.lat.,6,167.573325
Galium palustre agg.,0.4,0.9095
Caltha palustris,0.45,1.025254545
Sonchus oleraceus,0.55,0.325
Lysimachia vulgaris,0.85,0.3224
Solanum dulcamara,1.65,29.89211029
Lycopus europaeus,0.5,0.233163636
Carex acutiformis,0.8,0.864166667
Berula erecta,0.6,0.69945
Iris pseudacorus,0.9,46.86421111
Solidago canadensis,1.15,0.0668125
Bidens frondosa,1,
Ranunculus repens,0.25,2.24169697
Poa palustris,0.65,0.15525
Agrostis stolonifera,0.65,0.047775
Ficaria verna,0.1,1.938133333
Poa trivialis,0.65,0.164933333
Myosoton aquaticum,0.7,0.20395
Myosotis palustris subsp. laxiflora,0.65,0.3013
Mentha aquatica,0.975,0.12832381
Veronica beccabunga,0.125,0.425233333
Phalaris arundinacea,1.65,0.652637037
Symphytum officinale,0.8,8.3244
Ranunculus auricomus agg.,0.425,
Lactuca serriola,0.85,0.5437
Rumex obtusifolius,0.85,1.155
Calystegia sepium,2,30.272
Ribes rubrum,1.25,9.162
Arctium lappa,1.9,13.02328
Scirpus sylvaticus,0.65,0.124723077
Clematis vitalba,8.5,2.610676543
Angelica sylvestris,1.05,2.421444444
Cirsium oleraceum,1.1,2.088666667
Mentha longifolia,0.9,0.064
Lamium maculatum,0.35,1.608533333
Impatiens noli-tangere,0.65,6.169974359
Oxalis acetosella,0.085,0.961
Stachys sylvatica,0.75,1.4016
Adoxa moschatellina,0.125,0.629
Silene latifolia subsp. alba,0.525,0.964555556
Viola riviniana,0.225,1.200266667
Circaea lutetiana,0.5,1.795490909
Festuca gigantea,1,2.8575
Paris quadrifolia,0.25,119.6368
Cystopteris fragilis,0.165,
Dentaria bulbifera,0.45,20.036
Epilobium adenocaulon,0.7,0.084
Actaea spicata,0.5,119.9452
Salix euxina,10.5,0.117
Prunus insititia,6.5,
Salix alba,22.5,0.12
Chaerophyllum bulbosum,1.4,2.133333333
Arctium tomentosum,1.4,13.5575
Elymus caninus,0.75,4.462388889
Humulus lupulus,6,4.112583333
Allium ursinum,0.275,5.3948
Anthriscus sylvestris,1,4.304266667
Lilium martagon,0.95,5.935
Glechoma hirsuta,0.375,
Crepis paludosa,0.65,0.6532
Geranium phaeum,0.5,
Ranunculus lanuginosus,0.6,1.3
Primula elatior,0.165,0.452
Carex sylvatica,0.65,1.663953846
Pimpinella major,0.8,2.072397576
Phyteuma spicatum,0.5,0.1496
Prunus padus,6.25,137.5
Salix triandra,4,0.02
Cornus sanguinea,3.5,79.5914
Rubus caesius,0.4,3.7628451
