RELEVE_NR,COUNTRY,REFERENCE,TABLE_NR,NR_IN_TAB,COVERSCALE,PROJECT,AUTHOR,DATE,SYNTAXON,SURF_AREA,UTM,ALTITUDE,EXPOSITION,INCLINATIO,COV_TOTAL,COV_TREES,COV_SHRUBS,COV_HERBS,COV_MOSSES,COV_LICHEN,COV_ALGAE,COV_LITTER,COV_WATER,COV_ROCK,TREE_HIGH,TREE_LOW,SHRUB_HIGH,SHRUB_LOW,HERB_HIGH,HERB_LOW,HERB_MAX,CRYPT_HIGH,MOSS_IDENT,LICH_IDENT,REMARKS,SYNOPTIC,NR_OF_REL,SYNTAXONEU,SBSREFCODE,LONGITUDE,LATITUDE,COORD_CODE,SYNTAX_OLD,LOCALITY,BIAS_MIN,BIAS_GPS,CEBA_GRID,FIELD_NR,HABITAT,GEOLOGY,SOIL,PH_H20,PH_KCL,SELECTION
1,CZ,,,,02,,0669,20070611,,100.00,,412,135,4,0,80,15,20,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,"snimkovali: David Zeleny, Irena Vesela, Milach Chytry a",,0,,0,164038.60,491312.10,01,,"Brno, Maloměřice, Hády; 1,7 km od středu městské části",0,7,,1/2007,,,,6.10,5.28,1
2,CZ,,,,02,,0832,20070702,,100.00,,458,150,24,0,80,0,25,10,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,"snimkovali Irena Vesela + David Zeleny
Hieracium sabaud",,0,,0,163420.00,492015.30,01,,"Svinošice (Brno, Kuřim); 450 m SZ od středu obce",0,5,,2/2007,,,,4.22,3.24,1
3,CZ,,,,02,,0832,20070702,,100.00,,414,150,13,0,80,0,25,8,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny,,0,,0,163345.80,492128.90,01,,"Lažany (Brno, Kuřim); 1 km VSV od středu obce",0,6,,3/2007,,,,4.75,4.01,1
4,CZ,,,,02,,0832,20070702,,100.00,,379,210,21,0,75,0,30,10,0,0,0,0,10,0,0,0.0,0.0,0,0,0,0,N,N,"snimkovali Irena Vesela + David Zeleny
Hieracium sabaud",,0,,0,162913.40,492126.40,01,,Všechovice (Tišnov); 500 m Z od středu obce,0,10,,4/2007,,,,4.63,3.77,1
5,CZ,,,,02,,0832,20070703,,100.00,,374,,,0,70,0,35,8,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny,,0,,0,162137.80,490210.20,01,,"Vedrovice (Moravský Krumlov), Krumlovský les; 2,2 km SZ od středu obce",0,6,,5/2007,,,,4.36,3.50,1
6,CZ,,,,02,,0832,20070703,,100.00,,380,170,10,0,65,1,60,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny,,0,,0,162128.30,490203.10,01,,"Vedrovice (Moravský Krumlov), Krumlovský les; 2,1 km SZ od středu obce",0,5,,6/2007,,,,4.62,3.80,1
7,CZ,,,,02,,0832,20070703,,100.00,,373,65,6,0,65,0,70,5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,"snimkovali Irena Vesela + David Zeleny
Viola reichenbac",,0,,0,162117.20,490158.50,01,,"Vedrovice (Moravský Krumlov), Krumlovský les; 2,2 km SZ od středu obce",0,6,,7/2007,,,,4.28,3.48,1
8,CZ,,,,02,,0832,20070703,,100.00,,390,,,0,85,0,70,5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,"snimkovali Irena Vesela + David Zeleny
Viola reichenbac",,0,,0,162348.70,490253.30,01,,"Vedrovice (Moravský Krumlov), Krumlovský les; 3,3 km SSV od středu obce",0,14,,8/2007,,,,4.48,3.68,1
9,CZ,,,,02,,0832,20070711,,100.00,,255,80,38,0,80,20,15,10,0,0,0,0,15,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny,,0,,0,161734.70,490729.50,01,,"Čučice (Oslavany), Přírodní park Oslava; 1,7 km JV od středu obce",0,6,,9/2007,,,,5.16,4.24,1
10,CZ,,,,02,,0832,20070711,,100.00,,340,220,13,0,70,0,75,3,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,N,N,"snimkovali Irena Vesela + David Zeleny
",,0,,0,161622.40,490742.40,01,,"Čučice (Oslavany), Přírodní park Oslava; 1 km JJZ od středu obce",0,4,,10/2007,,,,4.92,4.01,1
11,CZ,,,,02,,0832,20070711,,100.00,,368,95,29,0,85,15,8,5,0,0,0,0,10,0,0,0.0,0.0,0,0,0,0,N,N,"snimkovali Irena Vesela + David Zeleny
",,0,,0,161507.00,490813.60,01,,"Senorady (Oslavany), Přírodní park Oslava; 1,2 km SSV od středu obce",0,5,,11/2007,,,,4.52,3.83,1
14,CZ,,,,02,,0669,20070719,,100.00,,280,340,47,0,60,20,30,8,0,0,0,0,10,0,0,0.0,0.0,0,0,0,0,N,N,"snimkovali: David Zeleny + Ching Feng Li
",,0,,0,164020.30,491423.30,01,,Bílovice n. Svitavou; 800 m J od středu obce,0,11,,14/2007,,,,4.95,4.07,1
16,CZ,,,,02,,0669,20070720,,100.00,,392,120,33,0,75,0,60,20,0,0,0,0,20,0,0,0.0,0.0,0,0,0,0,N,N,"snimkovali: David Zeleny + Ching Feng Li 
",,0,,0,162206.90,492428.60,01,,"Borač (Tišnov), Přírodní park Svratecká vrchovina; 950 m SV od středu obce",0,9,,16/2007,,,,4.52,3.61,1
18,CZ,,,,02,,0669,20070720,,100.00,,340,260,24,0,70,0,85,3,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: David Zeleny + Ching Feng Li,,0,,0,162349.60,492239.20,01,,"Štěpánovice (Tišnov), Přírodní park Svratecká vrchovina; 850 m SV od středu obce",0,9,,18/2007,,,,5.24,4.62,1
28,CZ,,,,02,,0669,20070729,,100.00,,431,,,0,70,0,55,8,0,0,0,0,10,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: David Zeleny + Ching Feng Li,,0,,0,155710.70,490123.00,01,,"Rozkoš (Moravské Budějovice); 1,9 km ZJZ od středu obce",0,6,,28/2007,,,,4.44,3.56,1
